ibge,anomes,bpc_ben,bpc_pcd_ben,bpc_idoso_ben,bpc_pcd_val,bpc_idoso_val,bpc_val
110001,202510,690,581,109,881976.58,165462,1047438.58
110002,202510,4122,2839,1283,4315847.99,1949137.91,6264985.90
110003,202510,105,86,19,130553.28,28842,159395.28
110004,202510,2742,2033,709,3090756.6,1077789.41,4168546.01
110005,202510,573,451,122,684633.21,185196,869829.21
110006,202510,499,364,135,554097.02,204934.96,759031.98
110007,202510,98,80,18,121441.55,27324,148765.55
110008,202510,360,226,134,345408.87,203414.37,548823.24
110009,202510,1220,998,222,1516509.03,336996,1853505.03
110010,202510,2101,1188,913,1806470.81,1385939.36,3192410.17
110011,202510,2099,1657,442,2519997,670966.96,3190963.96
110012,202510,5041,3108,1933,4727251.21,2934315.7,7661566.91
110013,202510,949,793,156,1205332.13,236811.35,1442143.48
110014,202510,395,354,41,540418.79,62238.52,602657.31
110015,202510,1669,1272,397,1933975.9,604170.24,2538146.14
110018,202510,1212,807,405,1225058.13,614791.44,1839849.57
110020,202510,23316,14458,8858,21984782.32,13464874.56,35449656.88
110025,202510,624,478,146,725635.84,221635.76,947271.60
110026,202510,54,43,11,65276.14,16698,81974.14
110028,202510,1930,1392,538,2113119.89,816692.07,2929811.96
110029,202510,147,132,15,200385.54,22770.65,223156.19
110030,202510,3007,2007,1000,3057104.09,1519531,4576635.09
110032,202510,475,396,79,602672.42,119924.12,722596.54
110033,202510,826,613,213,930594.92,326380.09,1256975.01
110034,202510,394,323,71,491842.72,107778,599620.72
110037,202510,124,106,18,160911.17,27324,188235.17
110040,202510,534,384,150,582924.9,227701.51,810626.41
110045,202510,1307,980,327,1493780.7,497912.9,1991693.6
110050,202510,95,83,12,125996.95,18216,144212.95
110060,202510,86,67,19,101713.54,28842.3,130555.84
110070,202510,42,29,13,44025.97,19734,63759.97
110080,202510,710,466,244,708934.51,370394.71,1079329.22
110090,202510,21,17,4,25806.99,6072,31878.99
110092,202510,203,127,76,192791.7,115368,308159.7
110094,202510,367,277,90,420489.27,136620.2,557109.47
110100,202510,95,82,13,124481.19,19734,144215.19
110110,202510,189,129,60,195829.82,91080,286909.82
110120,202510,112,94,18,142697.66,27324,170021.66
110130,202510,325,267,58,405317.51,88044.1,493361.61
110140,202510,367,271,96,411383.38,145729.06,557112.44
110143,202510,78,66,12,100190.74,18216,118406.74
110145,202510,62,49,13,74382.6,19734,94116.6
110146,202510,17,12,5,18217.84,7590,25807.84
110147,202510,72,54,18,81975.93,27324,109299.93
110148,202510,59,48,11,72864.75,16698,89562.75
110149,202510,345,256,89,390136.68,136622.57,526759.25
110150,202510,201,167,34,253512.21,51612.5,305124.71
110155,202510,18,15,3,22770,4554,27324
110160,202510,121,100,21,151804.21,31878,183682.21
110170,202510,277,228,49,346117.68,74383.63,420501.31
110175,202510,85,68,17,104745,25806,130551
110180,202510,94,73,21,110816.53,31878,142694.53
120001,202510,393,308,85,468069.6,129032.66,597102.26
120005,202510,328,219,109,333970.67,165462,499432.67
120010,202510,1524,963,561,1464926.28,851605.38,2316531.66
120013,202510,253,188,65,286919.08,98671,385590.08
120017,202510,40,32,8,48582.05,12146.26,60728.31
120020,202510,4056,3347,709,5080841.59,1077782.64,6158624.23
120025,202510,727,423,304,643717.71,461513.28,1105230.99
120030,202510,1606,1417,189,2151051.44,286902.88,2437954.32
120032,202510,70,61,9,92598,13662,106260
120033,202510,319,280,39,425061.08,59202,484263.08
120034,202510,365,306,59,464530.18,89562,554092.18
120035,202510,89,85,4,129031.5,6072,135103.5
120038,202510,619,464,155,704516.42,235293.41,939809.83
120039,202510,55,50,5,75900,7590,83490
120040,202510,20714,14958,5756,22739784.4,8753013.37,31492797.77
120042,202510,66,65,1,98681.93,1518.58,100200.51
120043,202510,41,27,14,40987.98,21252,62239.98
120045,202510,1154,807,347,1229816.69,526767.76,1756584.45
120050,202510,1784,1423,361,2163252.13,548001.27,2711253.40
120060,202510,1965,1686,279,2560036.28,423524.79,2983561.07
120070,202510,584,458,126,696795.41,191268.83,888064.24
120080,202510,295,219,76,332449.85,115368,447817.85
130002,202510,215,176,39,268692.6,59202,327894.6
130006,202510,155,120,35,183679.2,53130,236809.2
130008,202510,184,135,49,204937.03,74382,279319.03
130010,202510,273,214,59,324859.02,89562.74,414421.76
130014,202510,430,325,105,493740.32,159394.29,653134.61
130020,202510,222,170,52,258069.74,78936,337005.74
130030,202510,1254,791,463,1200780.68,702835.8,1903616.48
130040,202510,637,443,194,674021.31,294492.4,968513.71
